Friday,[5fraidi],n.星期五
post office,[],n.邮局
put,[pQt],"vt.放, 摆, 安置, 表达, 迫使, 移动, 提出, 赋予//vi.出发, 航行, 发芽, 击//n.掷, 投击, 笨蛋, 怪人//vbl.put的过去式和过去分词//adj.固定不动的"
quiet,[5kwaiEt],"adj.静止的, 宁静的, 从容的//n.安静, 闲适//vi.平静下来//vt.使平静, 使安心, 减轻(疑虑、恐惧等)人//vbl.put的过去式和过去分词//adj.固定"
radio,[5reidiEu],"n.<美>无线电通信, 无线电接收装置, 无线电广播设备//v.用无线电发送"
ready,[5redi],"adj.有准备的, 准备完毕的, 甘心的, 情愿的, 现成的, 迅速的"
really,[5riEli],"adv.真正地, 实在地, (表语气)真的吗?"
rest,[rest],"n.休息, 静止, 支持物, 台, 架, [音]休止符, 其余, 其他//vi.休息, 睡眠, 静止, 依靠, 搁在, 保持(状态), 取决于//vt.使休息, 使静止, 睡眠, 依靠, 搁在"
ride,[raid],"v.骑, 乘//n.骑, 乘"
see a doctor,[],v.看医生
sew,[sju:],"v.缝制, 缝纫, 缝合"
sit,[sit],"v.(使)就座, (使)坐"
sit down,[],"v.坐下, 扎营, 坐下来商讨, 停止, 降落"
skirt,[skE:t],n.裙子//v.环绕
snow,[snEu],n.雪//vi.下雪
speak,[spi:k],"v.说话, 谈话, 说明事实, 表示意见, 发言, 演讲, 操(某种语言), 前"
speak to,[],"v.对...说话, 说到, 责备, 证明"
spit,[spit],"n.唾液//v.吐(唾沫), 吐出, 发射, 发出, 喷吐"
stay,[stei],"n.逗留, 延缓, 中止, 支柱//v.在, 暂住, 坚持, 止住, 抑制, 延缓, 停(下)静止, 依靠, 搁在, 保持(状态), 取决于//vt.使休息, 使静止, 睡眠"
stay in bed,[],呆在床上，卧床休息
stay up,[],v.不睡觉
story,[5stC:ri],"n.故事, 小说, 传说, 事迹, 经历, 假话, 谎话"
sure,[FuE],"adj.对....有把握, 确信某事, 稳当的, 可靠的//adv.的确, 当然"
tailor,[5teilE],"n.裁缝//vt.剪裁, 缝制(衣服)～, 适应, 适合//v.制做"
take,[teik],"v.拿, 拿走, 取, 抓, 占领, 获得, 接受, 感受//n.捕获量"
take a message,[],捎个口信
then,[Ten],"adv.当时, 在那时, 那么, 因而, 然后, 于是"
think,[WiNk],"v.想, 思索, 认为//vt.认为, 以为, 预料"
to,[tu:; tE; tu],"prep.向, 往, 给...,于...,直到...为止, 在...之前, 比, 对, [表示程度、范围] 到, 达//[域] Tonga , 汤加"
together,[tE5geTE],"adv.共同, 一起, 合起来, 集拢地"
tomorrow,[tE5mCrEu; tu5mCrEu],"adv.明天见//n.明天, 未来"
toothache,[5tu:Weik],n.牙痛
toy,[tCi],n.玩具
turn,[tE:n],"n.转动, 旋转, 转变方向, 轮流, 时机, (一)回, 倾向, 癖性//v.(使)转动, 翻转, 扭转, (使)变质, 超过(年龄,数量等), 车(成)使静止, 睡眠"
turn on,[],"v.开启, 变得兴奋, 突然装出, 开始"
us,[Qs; Es],"pron.<用作宾语>我们//[域] United States , 美国"
weather,[5weTE],"n.天气, 气候, 气象, 处境//adj.迎风的, 露天的//vt.使受风吹雨打, 侵蚀, 使风化, 经受住//vi.风化, 受侵蚀, 经受风雨"
windy,[5windi],"adj.有风的, 刮风的, 多风的, 风强的, 腹胀的, 吹牛的"
with,[wiT],"prep.有, 以, 用, 同...,由于, 和...一致, 赞成, 关于, 就"
worker,[5wE:kE],n.工人
wrong,[rCN],"adj.错误的, 不正当的, 道德不好的, 失常的//adv.错误地//n.坏事, 错误, 不公正"
yours,[jC:z; juEz],"pron.你的, 你们的"
